id,topic,source,url,type,status,supports,limitations,project_impact
S001,ShadowNAV data,SEC Business Development Company Data Sets,https://www.sec.gov/data-research/sec-markets-data/bdc-data-sets,official primary,verified 2026-08-14,"Official free XBRL-derived BDC flat files, including Schedule of Investments; history and download inventory.",Registrant-provided structured data can contain tagging/extraction errors; full filings remain authoritative.,Core historical data source.
S002,ShadowNAV data,SEC BDC Data Sets announcement,https://www.sec.gov/newsroom/whats-new/2506-bdc-data-sets,official primary,verified 2026-08-14,SEC launched BDC datasets in June 2025 and describes flat-file/XBRL scope.,"Announcement, not schema documentation.",Supports freshness/new availability of the public dataset.
S003,Data access,SEC Developer Resources,https://www.sec.gov/about/developer-resources,official primary,known official,Fair-access and identification requirements for automated SEC retrieval.,"Operational guidance, not research evidence.",Downloader policy.
S004,BDC universe,Houlihan Lokey BDC Monitor,https://hl.com/insights/bdc-monitor/,industry research,verified 2026-08-14,Quarterly BDC universe/trend research covering more than 170 BDCs.,Commercial/industry publication; methodology may not be fully open.,Universe scale and cross-holding context.
S005,Vendor competition,SOLVE Workstation — BDC Data,https://solvefixedincome.com/solutions/bdc-data-analytics-workstation/,vendor,verified 2026-08-14,"Commercial normalization, co-investor mapping, same-asset valuation comparison, historical BDC coverage.",Marketing claims; no public validation of predictive accuracy.,Invalidates 'nobody links co-holder marks'; novelty must be predictive.
S006,Valuation consistency,KBRA — BDC Portfolio Valuations are Rigorous,https://www.kbra.com/publications/BStQZsyc,rating-agency research,verified 2026-08-14,Identical-asset marks usually show limited variance; larger differences may appear in stressed assets.,Uses a commercial database and rated-BDC perspective.,Both supports mark propagation and warns that alpha may be quickly understood.
S007,Valuation heterogeneity,CreditSights — The opaque side of BDCs,https://know.creditsights.com/us-insight-the-opaque-side-of-bdcs-private-credits-most-transparent-market/,industry journalism/research,verified 2026-08-14,Examples of divergent marks; lead/agent information-right differences; stressed assets have wider dispersion.,"Case examples and interviews, not a causal panel study.",Motivates lender-bias and information-right controls.
S008,Entry basis,Moody's — Entry Pricing or Credit Deterioration?,https://www.moodys.com/web/en/us/insights/credit-risk/private-credit/entry-pricing-or-credit-deterioration.html,research,verified 2026-08-14,Below-par marks often reflect entry basis; post-origination change is more informative.,Cross-sectional descriptive analysis; cost is an imperfect entry-price proxy.,Rejects raw below-par signal; supports source-delta design.
S009,First-reporter cases,KBRA — Khoros potential default,https://www.kbra.com/publications/QVQcBRRM/kbra-releases-research-private-credit-khoros-potential-default-sprinkled-across-private-credit,rating-agency case research,verified 2026-08-14,A documented case where one BDC markdown preceded broader markdown/non-accrual reporting.,Single distressed borrower case.,Concrete example of the proposed mechanism.
S010,Cross-held exposure,KBRA — Pluralsight restructuring exposure,https://www.kbra.com/publications/mpftfNbZ/private-credit-impact-of-pluralsight-s-potential-restructuring-will-be-widely-dispersed-and-no-effect-on-ratings-expected,rating-agency case research,verified 2026-08-14,One private-credit facility can be distributed across many BDCs and managers.,"Exposure case, not predictive test.",Supports cross-holder network scale.
